# temp  energy  qhat_over_T3
  0.150000   4.242000   1.070753
  0.170000   4.242000   1.032158
  0.190000   4.242000   1.003095
  0.210000   4.242000   0.980028
  0.230000   4.242000   0.960852
  0.250000   4.242000   0.944228
  0.270000   4.242000   0.929521
  0.290000   4.242000   0.916319
  0.310000   4.242000   0.904322
  0.330000   4.242000   0.893322
  0.350000   4.242000   0.883196
  0.370000   4.242000   0.873789
  0.390000   4.242000   0.865041
  0.410000   4.242000   0.856904
  0.430000   4.242000   0.849266
  0.450000   4.242000   0.842124
  0.470000   4.242000   0.835359
  0.490000   4.242000   0.828940
  0.510000   4.242000   0.822892
  0.530000   4.242000   0.817188
  0.550000   4.242000   0.811792
  0.570000   4.242000   0.806689
  0.590000   4.242000   0.801850
  0.610000   4.242000   0.797261
  0.630000   4.242000   0.792898
  0.650000   4.242000   0.788746
  0.670000   4.242000   0.784796
  0.690000   4.242000   0.781017
  0.710000   4.242000   0.777364
  0.730000   4.242000   0.773862
  0.750000   4.242000   0.770528
  0.150000   5.599580   1.509656
  0.170000   5.599580   1.467495
  0.190000   5.599580   1.432993
  0.210000   5.599580   1.403566
  0.230000   5.599580   1.377687
  0.250000   5.599580   1.354060
  0.270000   5.599580   1.332455
  0.290000   5.599580   1.312565
  0.310000   5.599580   1.294097
  0.330000   5.599580   1.276855
  0.350000   5.599580   1.260674
  0.370000   5.599580   1.245427
  0.390000   5.599580   1.231030
  0.410000   5.599580   1.217391
  0.430000   5.599580   1.204463
  0.450000   5.599580   1.192145
  0.470000   5.599580   1.180344
  0.490000   5.599580   1.169017
  0.510000   5.599580   1.158208
  0.530000   5.599580   1.147871
  0.550000   5.599580   1.137984
  0.570000   5.599580   1.128512
  0.590000   5.599580   1.119432
  0.610000   5.599580   1.110709
  0.630000   5.599580   1.102322
  0.650000   5.599580   1.094254
  0.670000   5.599580   1.086485
  0.690000   5.599580   1.078978
  0.710000   5.599580   1.071672
  0.730000   5.599580   1.064623
  0.750000   5.599580   1.057815
  0.150000   6.957160   1.907163
  0.170000   6.957160   1.859564
  0.190000   6.957160   1.818734
  0.210000   6.957160   1.782709
  0.230000   6.957160   1.750159
  0.250000   6.957160   1.719863
  0.270000   6.957160   1.691772
  0.290000   6.957160   1.665642
  0.310000   6.957160   1.641174
